P581-PWY	Degradation/Utilization/Assimilation - Other
P601-PWY	Secondary Metabolite Degradation
P621-PWY	Degradation/Utilization/Assimilation - Other
P641-PWY	Mercury Detoxification
P661-PWY	Aromatic Compound Degradation
P662-PWY	Aromatic Compound Degradation
PANTO-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PANTOSYN-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PARATHION-DEGRADATION-PWY	Aromatic Compound Degradation
PCEDEG-PWY	Chlorinated Compound Degradation
PCPDEG-PWY	Chlorinated Compound Degradation
PENTOSE-P-PWY	Pentose Phosphate Pathways
PEPTIDOGLYCANSYN-PWY	Cell Structure Biosynthesis
PHENOLDEG-PWY	Aromatic Compound Degradation
PHENYLALANINE-DEG1-PWY	Amino Acid Degradation
PHESYN	Amino Acid Biosynthesis
PHOSLIPSYN-PWY	Fatty Acid and Lipid Biosynthesis
PHOSPHONOTASE-PWY	Inorganic Nutrient Metabolism
PHOTOALL-PWY	Photosynthesis
PLPSAL-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
POLYAMINSYN3-PWY	Amine and Polyamine Biosynthesis
POLYAMSYN-PWY	Amine and Polyamine Biosynthesis
POLYISOPRENSYN-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PPGPPMET-PWY	Metabolic Regulator Biosynthesis
PROPFERM-PWY	Fermentation
PROPIONMET-PWY	Carboxylate Degradation
PROSYN-PWY	Amino Acid Biosynthesis
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	Aromatic Compound Degradation
PROUT-PWY	Amino Acid Degradation
PRPP-PWY	"superpathway of histidine, purine, and pyrimidine biosynthesis"
PUTDEG-PWY	Amine and Polyamine Degradation
PWY-1001	Cell Structure Biosynthesis
PWY-101	Photosynthesis
PWY-102	Hormone Degradation
PWY-116	Aromatic Compound Degradation
PWY-1164	Degradation/Utilization/Assimilation - Other
PWY-1263	Inorganic Nutrient Metabolism
PWY-1264	Inorganic Nutrient Metabolism
PWY-1269	Carbohydrate Biosynthesis
PWY-1281	Inorganic Nutrient Metabolism
PWY-1341	Aromatic Compound Degradation
PWY-1361	Aromatic Compound Degradation
PWY-1381	Aromatic Compound Degradation
PWY-142	Aromatic Compound Degradation
PWY-1422	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-1501	Aromatic Compound Degradation
PWY-1541	Inorganic Nutrient Metabolism
PWY-1622	C1 Compound Utilization and Assimilation
PWY-1641	C1 Compound Utilization and Assimilation
PWY-1701	C1 Compound Utilization and Assimilation
PWY-1722	C1 Compound Utilization and Assimilation
PWY-1723	C1 Compound Utilization and Assimilation
PWY-1781	Amino Acid Degradation
PWY-1801	C1 Compound Utilization and Assimilation
PWY-181	Photosynthesis
PWY-1861	C1 Compound Utilization and Assimilation
PWY-1881	Chemoautotrophic Energy Metabolism
PWY-1882	C1 Compound Utilization and Assimilation
PWY-2	Amine and Polyamine Degradation
PWY-2161	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-2201	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-2221	Carbohydrate Degradation
PWY-2242	Inorganic Nutrient Metabolism
PWY-2261	Reactive Oxygen Specie Degradation
PWY-2301	Secondary Metabolite Biosynthesis
PWY-2361	Carboxylate Degradation
PWY-2381	Aromatic Compound Degradation
PWY-2421	Hormone Degradation
PWY-2503	Aromatic Compound Degradation
PWY-2504	Aromatic Compound Degradation
PWY-2601	Inorganic Nutrient Metabolism
PWY-2622	Metabolic Regulator Biosynthesis
PWY-2661	Metabolic Regulator Biosynthesis
PWY-2721	Carbohydrate Degradation
PWY-2722	Carbohydrate Degradation
PWY-283	Aromatic Compound Degradation
PWY-2941	Amino Acid Biosynthesis
PWY-2942	Amino Acid Biosynthesis
PWY-3	Amine and Polyamine Degradation
PWY-3001	Amino Acid Biosynthesis
PWY-301	Carboxylate Degradation
PWY-3081	Amino Acid Biosynthesis
PWY-3161	Hormone Biosynthesis
PWY-3162	Amino Acid Degradation
PWY-3181	Amino Acid Degradation
PWY-3461	Amino Acid Biosynthesis
PWY-3462	Amino Acid Biosynthesis
PWY-3561	Amine and Polyamine Biosynthesis
PWY-3602	Amine and Polyamine Degradation
PWY-3621	Amine and Polyamine Degradation
PWY-3641	Amine and Polyamine Degradation
PWY-3661	Amine and Polyamine Degradation
PWY-3721	Amine and Polyamine Degradation
PWY-3722	Amine and Polyamine Biosynthesis
PWY-3781	Respiration
PWY-3801	Carbohydrate Degradation
PWY-3941	Amino Acid Biosynthesis
PWY-3982	Nucleoside and Nucleotide Degradation
PWY-4	Carbohydrate Biosynthesis
PWY-40	Amine and Polyamine Biosynthesis
PWY-4081	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-4101	Secondary Metabolite Degradation
PWY-4121	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-4181	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-4261	Alcohol Degradation
PWY-43	Amine and Polyamine Biosynthesis
PWY-4341	Amino Acid Biosynthesis
PWY-4361	Amino Acid Biosynthesis
PWY-4381	Fatty Acid and Lipid Biosynthesis
PWY-4521	Respiration
PWY-46	Amine and Polyamine Biosynthesis
PWY-4601	Respiration
PWY-4621	Arsenate Detoxification
PWY-4722	Amine and Polyamine Degradation
PWY-4741	Amine and Polyamine Degradation
PWY-481	Aromatic Compound Degradation
PWY-4821	Carbohydrate Biosynthesis
PWY-4861	Carbohydrate Biosynthesis
PWY-4921	Amino Acid Biosynthesis
PWY-4984	Inorganic Nutrient Metabolism
PWY-5005	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5022	Fermentation
PWY-5024	Amino Acid Degradation
PWY-5025	Hormone Biosynthesis
PWY-5026	Hormone Biosynthesis
PWY-5027	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5028	Amino Acid Degradation
PWY-5029	Amino Acid Biosynthesis
PWY-5033	Aromatic Compound Degradation
PWY-5041	Amino Acid Biosynthesis
PWY-5046	Respiration
PWY-5052	Secondary Metabolite Biosynthesis
PWY-5053	Secondary Metabolite Biosynthesis
PWY-5055	Aromatic Compound Degradation
PWY-5057	Amino Acid Degradation
PWY-5062	Aromatic Compound Degradation
PWY-5063	Secondary Metabolite Biosynthesis
PWY-5068	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5074	Carboxylate Degradation
PWY-5075	Amino Acid Degradation
PWY-5080	Fatty Acid and Lipid Biosynthesis
PWY-5084	Respiration
PWY-5086	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5087	Amino Acid Degradation
PWY-5088	Fermentation
PWY-5096	Fermentation
PWY-5097	Amino Acid Biosynthesis
PWY-5100	Fermentation
PWY-5101	Amino Acid Biosynthesis
PWY-5103	Amino Acid Biosynthesis
PWY-5104	Amino Acid Biosynthesis
PWY-5108	Amino Acid Biosynthesis
PWY-5120	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5121	Secondary Metabolite Biosynthesis
PWY-5122	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5123	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5130	Carboxylate Degradation
PWY-5137	Fatty Acid and Lipid Degradation
PWY-5142	Fatty Acid and Lipid Biosynthesis
PWY-5143	Fatty Acid and Lipid Biosynthesis
PWY-5148	Fatty Acid and Lipid Biosynthesis
PWY-5151	Amino Acid Degradation
PWY-5154	Amino Acid Biosynthesis
PWY-5155	Amino Acid Biosynthesis
PWY-5159	Amino Acid Degradation
PWY-5162	Carboxylate Degradation
PWY-5163	Aromatic Compound Degradation
PWY-5165	Aromatic Compound Degradation
PWY-5169	Aromatic Compound Degradation
PWY-5170	Aromatic Compound Degradation
PWY-5171	Aromatic Compound Degradation
PWY-5177	Carboxylate Degradation
PWY-5178	Aromatic Compound Degradation
PWY-5179	Aromatic Compound Degradation
PWY-5180	Aromatic Compound Degradation
PWY-5181	Aromatic Compound Degradation
PWY-5182	Aromatic Compound Degradation
PWY-5183	Aromatic Compound Degradation
PWY-5184	Aromatic Compound Degradation
PWY-5188	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5189	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5194	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5196	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5197	lactate biosynthesis (archaea)
PWY-5198	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5199	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5207	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5209	Respiration
PWY-5247	Respiration
PWY-5248	Respiration
PWY-5250	Respiration
PWY-5254	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5257	Secondary Metabolite Degradation
PWY-5258	Respiration
PWY-5259	Respiration
PWY-5260	Respiration
PWY-5261	Respiration
PWY-5265	Cell Structure Biosynthesis
PWY-5266	Aromatic Compound Degradation
PWY-5273	Aromatic Compound Degradation
PWY-5274	Inorganic Nutrient Metabolism
PWY-5276	Inorganic Nutrient Metabolism
PWY-5277	Inorganic Nutrient Metabolism
PWY-5278	Inorganic Nutrient Metabolism
PWY-5279	Inorganic Nutrient Metabolism
PWY-5280	Amino Acid Degradation
PWY-5283	Amino Acid Degradation
PWY-5285	Inorganic Nutrient Metabolism
PWY-5288	Secondary Metabolite Biosynthesis
PWY-5294	Inorganic Nutrient Metabolism
PWY-5296	Inorganic Nutrient Metabolism
PWY-5297	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5298	Amino Acid Degradation
PWY-5302	Inorganic Nutrient Metabolism
PWY-5303	Inorganic Nutrient Metabolism
PWY-5304	Inorganic Nutrient Metabolism
PWY-5306	Inorganic Nutrient Metabolism
PWY-5308	Inorganic Nutrient Metabolism
PWY-5314	Amino Acid Degradation
PWY-5327	Amino Acid Degradation
PWY-5331	Secondary Metabolite Biosynthesis
PWY-5332	Inorganic Nutrient Metabolism
PWY-5335	Inorganic Nutrient Metabolism
PWY-5336	Degradation/Utilization/Assimilation - Other
PWY-5340	Inorganic Nutrient Metabolism
PWY-5344	Amino Acid Biosynthesis
PWY-5345	Amino Acid Biosynthesis
PWY-5347	Amino Acid Biosynthesis
PWY-5350	Inorganic Nutrient Metabolism
PWY-5352	Inorganic Nutrient Metabolism
PWY-5358	Inorganic Nutrient Metabolism
PWY-5359	Inorganic Nutrient Metabolism
PWY-5360	Inorganic Nutrient Metabolism
PWY-5364	Inorganic Nutrient Metabolism
PWY-5366	Fatty Acid and Lipid Biosynthesis
PWY-5370	Chlorinated Compound Degradation
PWY-5372	Chlorinated Compound Degradation
PWY-5382	Chemoautotrophic Energy Metabolism
PWY-5384	Carbohydrate Degradation
PWY-5386	Aldehyde Degradation
PWY-5389	Secondary Metabolite Biosynthesis
PWY-5392	C1 Compound Utilization and Assimilation
PWY-5415	Aromatic Compound Degradation
PWY-5417	Aromatic Compound Degradation
PWY-5418	Aromatic Compound Degradation
PWY-5419	Aromatic Compound Degradation
PWY-5420	Aromatic Compound Degradation
PWY-5427	Aromatic Compound Degradation
PWY-5428	Aromatic Compound Degradation
PWY-5429	Aromatic Compound Degradation
PWY-5430	Aromatic Compound Degradation
PWY-5431	Aromatic Compound Degradation
PWY-5436	Amino Acid Degradation
PWY-5437	Amino Acid Degradation
PWY-5443	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5450	Aromatic Compound Degradation
PWY-5453	Aldehyde Degradation
PWY-5456	Aldehyde Degradation
PWY-5459	Aldehyde Degradation
PWY-5480	Fermentation
PWY-5481	Fermentation
PWY-5482	Fermentation
PWY-5483	Fermentation
PWY-5484	Glycolysis
PWY-5485	Fermentation
PWY-5486	Fermentation
PWY-5487	Aromatic Compound Degradation
PWY-5488	Aromatic Compound Degradation
PWY-5489	Aromatic Compound Degradation
PWY-5490	Aromatic Compound Degradation
PWY-5491	Inorganic Nutrient Metabolism
PWY-5493	C1 Compound Utilization and Assimilation
PWY-5494	Fermentation
PWY-5497	Nucleoside and Nucleotide Degradation
PWY-5499	"Cofactor, Prosthetic Group, Electron Carrier Degradation"
PWY-5505	Amino Acid Biosynthesis
PWY-5507	adenosylcobalamin biosynthesis I (anaerobic)
PWY-5509	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5512	Carbohydrate Biosynthesis
PWY-5517	Carbohydrate Degradation
PWY-5519	Carbohydrate Degradation
PWY-5521	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PWY-5523	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
